,Accession,Submitters,Organization,Org_location,Release_Date,Pangolin,PangoVersions,Random_Sampling,Isolate,Species,Length,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date
789509,ON882502.1,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Agarwal,M., Almasri,E., Boles,D., Burns,A., Charoensri,N., Cohen,O., Countryman,S., Cristobal,M.A., Croy,B., Dale,S., Deshmukh,H., Douglas,A., Drouillon,V., Eisenberg,M., Engler,H., Ghatti,R., Gupta,P., Hicks,S., Humphrey,J., Iyer,L., Pfefferle,L., Jain,M., Robinson,M., Kolli,M., Krueger,B., Kuphal,T., Letovsky,S., Levandoski,M., Lukasik,C., Meltzer,J., Norvell,B., Nye,M., Parker,S., Petropoulos,C., Pruitt,J., Ragan,S., Ryan,S., Sapeta,M., Schroth,J., Selvaraju,S.B., Stevovic,G., Suchanek,A., Throop,A., Tilson,L., Urban,T., Voshell,J., Wagner,K., Williams,J., Williamson,M., Zeng,Q., Zwiefelhofer,T., Paden,C.R., MacCannell,D., Sula,E.",,,2022-06-30T00:00:00Z,BE.1,4.1.3/1.17/v0.1.10/0.3.17,True,CO-CDC-LC0716796,Severe acute respiratory syndrome-related coronavirus,29688,USA: Colorado,USA,CO,Homo sapiens,oronasopharynx,2022-06-09
790017,ON883010.1,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Agarwal,M., Almasri,E., Boles,D., Burns,A., Charoensri,N., Cohen,O., Countryman,S., Cristobal,M.A., Croy,B., Dale,S., Deshmukh,H., Douglas,A., Drouillon,V., Eisenberg,M., Engler,H., Ghatti,R., Gupta,P., Hicks,S., Humphrey,J., Iyer,L., Pfefferle,L., Jain,M., Robinson,M., Kolli,M., Krueger,B., Kuphal,T., Letovsky,S., Levandoski,M., Lukasik,C., Meltzer,J., Norvell,B., Nye,M., Parker,S., Petropoulos,C., Pruitt,J., Ragan,S., Ryan,S., Sapeta,M., Schroth,J., Selvaraju,S.B., Stevovic,G., Suchanek,A., Throop,A., Tilson,L., Urban,T., Voshell,J., Wagner,K., Williams,J., Williamson,M., Zeng,Q., Zwiefelhofer,T., Paden,C.R., MacCannell,D., Sula,E.",,,2022-06-30T00:00:00Z,BA.2.12.1,4.1.3/1.17/v0.1.10/0.3.17,True,NJ-CDC-LC0712095,Severe acute respiratory syndrome-related coronavirus,29556,USA: New Jersey,USA,NJ,Homo sapiens,oronasopharynx,2022-06-12
792213,ON885206.1,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Agarwal,M., Almasri,E., Boles,D., Burns,A., Charoensri,N., Cohen,O., Countryman,S., Cristobal,M.A., Croy,B., Dale,S., Deshmukh,H., Douglas,A., Drouillon,V., Eisenberg,M., Engler,H., Ghatti,R., Gupta,P., Hicks,S., Humphrey,J., Iyer,L., Pfefferle,L., Jain,M., Robinson,M., Kolli,M., Krueger,B., Kuphal,T., Letovsky,S., Levandoski,M., Lukasik,C., Meltzer,J., Norvell,B., Nye,M., Parker,S., Petropoulos,C., Pruitt,J., Ragan,S., Ryan,S., Sapeta,M., Schroth,J., Selvaraju,S.B., Stevovic,G., Suchanek,A., Throop,A., Tilson,L., Urban,T., Voshell,J., Wagner,K., Williams,J., Williamson,M., Zeng,Q., Zwiefelhofer,T., Paden,C.R., MacCannell,D., Sula,E.",,,2022-06-30T00:00:00Z,BA.2.12.1,4.1.3/1.17/v0.1.10/0.3.17,True,FL-CDC-LC0715536,Severe acute respiratory syndrome-related coronavirus,29598,USA: Florida,USA,FL,Homo sapiens,oronasopharynx,2022-06-16
794152,ON871200.1,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Agarwal,M., Almasri,E., Boles,D., Burns,A., Charoensri,N., Cohen,O., Countryman,S., Cristobal,M.A., Croy,B., Dale,S., Deshmukh,H., Douglas,A., Drouillon,V., Eisenberg,M., Engler,H., Ghatti,R., Gupta,P., Hicks,S., Humphrey,J., Iyer,L., Pfefferle,L., Jain,M., Robinson,M., Kolli,M., Krueger,B., Kuphal,T., Letovsky,S., Levandoski,M., Lukasik,C., Meltzer,J., Norvell,B., Nye,M., Parker,S., Petropoulos,C., Pruitt,J., Ragan,S., Ryan,S., Sapeta,M., Schroth,J., Selvaraju,S.B., Stevovic,G., Suchanek,A., Throop,A., Tilson,L., Urban,T., Voshell,J., Wagner,K., Williams,J., Williamson,M., Zeng,Q., Zwiefelhofer,T., Paden,C.R., MacCannell,D., Sula,E.",,,2022-06-29T00:00:00Z,BA.2.12.1,4.1.3/1.17/v0.1.10/0.3.17,True,CA-CDC-LC0710283,Severe acute respiratory syndrome-related coronavirus,29725,USA: California,USA,CA,Homo sapiens,oronasopharynx,2022-06-07
796628,ON875268.1,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Paden,C.R., MacCannell,D.",,,2022-06-29T00:00:00Z,BA.2.12.1,4.1.3/1.17/v0.1.10/0.3.17,True,NV-CDC-QDX37911446,Severe acute respiratory syndrome-related coronavirus,29724,USA: Nevada,USA,NV,Homo sapiens,oronasopharynx,2022-06-12
797906,ON877035.1,"Sheth,M., Nobles,S., Madden,J., Padilla,J., Burgin,A., Bentz,M., Burroughs,M., Cook,P., Paden,C.R., Batra,D., Knipe,K., Howard,D., Unoarumhi,Y., Schmerer,M., Rambo-Martin,B.L., Lacek,K., Shepard,S., Wentworth,D., Dugan,V., Lee,J.",,,2022-06-29T00:00:00Z,BA.2.12.1,4.1.3/1.17/v0.1.10/0.3.17,True,VI-CDC-2-6111788,Severe acute respiratory syndrome-related coronavirus,29439,USA: VI,USA,VI,Homo sapiens,oronasopharynx,2022-05-23
798951,ON861696.1,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Ca,H., Morrison,S., Gulvick,C., Sula,E., Paden,C.R., MacCannell,D.",,,2022-06-28T00:00:00Z,BA.4.1,4.1.3/1.17/v0.1.10/0.3.17,True,TX-CDC-STM-95F9XYVN2,Severe acute respiratory syndrome-related coronavirus,29833,USA: Texas,USA,TX,Homo sapiens,oronasopharynx,2022-06-16
799136,ON862104.1,"Parrott,T., Balakrishnan,N., Talekar,S., Fields,A., Oelemann,M.",,,2022-06-28T00:00:00Z,BA.4.1,4.1.3/1.17/v0.1.10/0.3.17,,GA-GPHL-1616,Severe acute respiratory syndrome-related coronavirus,29709,USA: GA,USA,GA,Homo sapiens,,2022-06-09
800741,ON869492.1,"Linares-Perdomo,O.J.",,,2022-06-28T00:00:00Z,BA.2.12.1,4.1.3/1.17/v0.1.10/0.3.17,True,UT-UPHL-220619049299,Severe acute respiratory syndrome-related coronavirus,29699,USA,USA,,Homo sapiens,,2022-05-17
800898,ON869649.1,"Linares-Perdomo,O.J.",,,2022-06-28T00:00:00Z,BA.2.12.1,4.1.3/1.17/v0.1.10/0.3.17,True,UT-UPHL-220619377452,Severe acute respiratory syndrome-related coronavirus,29749,USA,USA,,Homo sapiens,,2022-05-18
801016,ON869767.1,"Linares-Perdomo,O.J.",,,2022-06-28T00:00:00Z,BA.2.12.1,4.1.3/1.17/v0.1.10/0.3.17,True,UT-UPHL-220619612565,Severe acute respiratory syndrome-related coronavirus,29749,USA,USA,,Homo sapiens,,2022-05-17
803704,ON849717.1,"Lemieux,J.E., Siddle,K.J., Shaw,B., Adams,G., Pierce,V., Turbett,S., Anahtar,M., Branda,J., Slater,D., Harris,J., Lin,A.E., Gladden-Young,A., Lagerborg,K., Rudy,M., DeRuff,K., Carter,A., Normandin,E., Bauer,M., Reilly,S., Tomkins-Tinch,C., Loreth,C., Chaluvadi,S., Neumann,A., Cusick,C., Chapman,S.B., Gnirke,A., Flowers,K., Cerrato,F., Birren,B.W., Gallagher,G., Smole,S., Park,D.J., MacInnis,B.L., Ryan,E., LaRocque,R., Rosenberg,E., Sabeti,P.C.",,,2022-06-27T00:00:00Z,BA.2.12.1,4.1.3/1.17/v0.1.10/0.3.17,True,VT-CDCBI-CRSP_ZYAEOBWYN4MUVL2P,Severe acute respiratory syndrome-related coronavirus,29406,USA: Vermont,USA,VT,Homo sapiens,,2022-06-06
804996,ON852310.1,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Ca,H., Morrison,S., Gulvick,C., Sula,E., Paden,C.R., MacCannell,D.",,,2022-06-27T00:00:00Z,BA.2.12.1,4.1.3/1.17/v0.1.10/0.3.17,True,TX-CDC-STM-FEKA245BS,Severe acute respiratory syndrome-related coronavirus,29843,USA: Texas,USA,TX,Homo sapiens,oronasopharynx,2022-06-07
805018,ON852332.1,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Ca,H., Morrison,S., Gulvick,C., Sula,E., Paden,C.R., MacCannell,D.",,,2022-06-27T00:00:00Z,BA.5.2.1,4.1.3/1.17/v0.1.10/0.3.17,True,GA-CDC-STM-JMJQ3DNVR,Severe acute respiratory syndrome-related coronavirus,29803,USA: Georgia,USA,GA,Homo sapiens,oronasopharynx,2022-06-07
805123,ON852437.1,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Ca,H., Morrison,S., Gulvick,C., Sula,E., Paden,C.R., MacCannell,D.",,,2022-06-27T00:00:00Z,BA.2.12.1,4.1.3/1.17/v0.1.10/0.3.17,True,FL-CDC-STM-T4V78U45E,Severe acute respiratory syndrome-related coronavirus,29844,USA: Florida,USA,FL,Homo sapiens,oronasopharynx,2022-06-10
805322,ON852636.1,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Ca,H., Morrison,S., Gulvick,C., Sula,E., Paden,C.R., MacCannell,D.",,,2022-06-27T00:00:00Z,BA.2.12.1,4.1.3/1.17/v0.1.10/0.3.17,True,FL-CDC-STM-GRG9TJNJV,Severe acute respiratory syndrome-related coronavirus,29850,USA: Florida,USA,FL,Homo sapiens,oronasopharynx,2022-06-11
806027,ON853341.1,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Ca,H., Morrison,S., Gulvick,C., Sula,E., Paden,C.R., MacCannell,D.",,,2022-06-27T00:00:00Z,BA.2.12.1,4.1.3/1.17/v0.1.10/0.3.17,True,AL-CDC-STM-QGUMTFXU4,Severe acute respiratory syndrome-related coronavirus,29848,USA: Alabama,USA,AL,Homo sapiens,oronasopharynx,2022-06-14
808637,ON846557.1,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Paden,C.R., MacCannell,D.",,,2022-06-26T00:00:00Z,BA.2.12.1,4.1.3/1.17/v0.1.10/0.3.17,True,WA-CDC-QDX37843343,Severe acute respiratory syndrome-related coronavirus,29724,USA: Washington,USA,WA,Homo sapiens,oronasopharynx,2022-06-07
809447,ON844265.1,"Githinji,G., Ochola-Oyier,I.L., Agoti,C.N., Mohammed,K.S., Mburu,M.W., Morobe,J.M., Lambisia,A.W., Makori,T., Ongera,E., Ndwiga,L., de Laurent,Z., Nokes,D.J.",,,2022-06-25T00:00:00Z,BA.2.12.1,4.1.3/1.17/v0.1.10/0.3.17,,SS8937,Severe acute respiratory syndrome-related coronavirus,29724,Kenya,Kenya,,Homo sapiens,,2022-05-31
809782,ON844620.1,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Paden,C.R., MacCannell,D.",,,2022-06-25T00:00:00Z,BA.5.2.1,4.1.3/1.17/v0.1.10/0.3.17,True,TX-CDC-QDX37750227,Severe acute respiratory syndrome-related coronavirus,29718,USA: Texas,USA,TX,Homo sapiens,oronasopharynx,2022-06-06
810711,ON835182.1,"Bankers,L., Bogale,H.N., Hetherington-Rauth,M.C., Ir,D., Matzinger,S.R., Rossheim,A., Smith,A.",,,2022-06-24T00:00:00Z,BA.4.1,4.1.3/1.17/v0.1.10/0.3.17,,CO-CDPHE-2103289076,Severe acute respiratory syndrome-related coronavirus,29714,USA,USA,,Homo sapiens,,2022-05-27
813625,ON840374.1,"Wang,Y., Garcia,A.B., Mattingly,H.E., Taylor,T., Wagner,J., Mishra,P.J.",,,2022-06-24T00:00:00Z,BA.2.13.1,4.1.3/1.17/v0.1.10/0.3.17,True,OKPHL0018038,Severe acute respiratory syndrome-related coronavirus,29465,"USA: Oklahoma, Poteau",USA,OK,Homo sapiens,,2022-06-06
813644,ON840393.1,"Wang,Y., Garcia,A.B., Mattingly,H.E., Taylor,T., Wagner,J., Mishra,P.J.",,,2022-06-24T00:00:00Z,BA.1.1,4.1.3/1.17/v0.1.10/0.3.17,True,OKPHL0018065,Severe acute respiratory syndrome-related coronavirus,29747,"USA: Oklahoma, Oklahoma City",USA,OK,Homo sapiens,,2022-01-11
816609,ON824504.1,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Agarwal,M., Almasri,E., Boles,D., Burns,A., Charoensri,N., Cohen,O., Countryman,S., Cristobal,M.A., Croy,B., Dale,S., Deshmukh,H., Douglas,A., Drouillon,V., Eisenberg,M., Engler,H., Ghatti,R., Gupta,P., Hicks,S., Humphrey,J., Iyer,L., Pfefferle,L., Jain,M., Robinson,M., Kolli,M., Krueger,B., Kuphal,T., Letovsky,S., Levandoski,M., Lukasik,C., Meltzer,J., Norvell,B., Nye,M., Parker,S., Petropoulos,C., Pruitt,J., Ragan,S., Ryan,S., Sapeta,M., Schroth,J., Selvaraju,S.B., Stevovic,G., Suchanek,A., Throop,A., Tilson,L., Urban,T., Voshell,J., Wagner,K., Williams,J., Williamson,M., Zeng,Q., Zwiefelhofer,T., Paden,C.R., MacCannell,D., Sula,E.",,,2022-06-23T00:00:00Z,BA.2.12.1,4.1.3/1.17/v0.1.10/0.3.17,True,VA-CDC-LC0697864,Severe acute respiratory syndrome-related coronavirus,29631,USA: Virginia,USA,VA,Homo sapiens,oronasopharynx,2022-06-05
818038,ON825933.1,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Agarwal,M., Almasri,E., Boles,D., Burns,A., Charoensri,N., Cohen,O., Countryman,S., Cristobal,M.A., Croy,B., Dale,S., Deshmukh,H., Douglas,A., Drouillon,V., Eisenberg,M., Engler,H., Ghatti,R., Gupta,P., Hicks,S., Humphrey,J., Iyer,L., Pfefferle,L., Jain,M., Robinson,M., Kolli,M., Krueger,B., Kuphal,T., Letovsky,S., Levandoski,M., Lukasik,C., Meltzer,J., Norvell,B., Nye,M., Parker,S., Petropoulos,C., Pruitt,J., Ragan,S., Ryan,S., Sapeta,M., Schroth,J., Selvaraju,S.B., Stevovic,G., Suchanek,A., Throop,A., Tilson,L., Urban,T., Voshell,J., Wagner,K., Williams,J., Williamson,M., Zeng,Q., Zwiefelhofer,T., Paden,C.R., MacCannell,D., Sula,E.",,,2022-06-23T00:00:00Z,BA.4.1,4.1.3/1.17/v0.1.10/0.3.17,True,NJ-CDC-LC0700145,Severe acute respiratory syndrome-related coronavirus,29309,USA: New Jersey,USA,NJ,Homo sapiens,oronasopharynx,2022-06-08
818066,ON825961.1,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Agarwal,M., Almasri,E., Boles,D., Burns,A., Charoensri,N., Cohen,O., Countryman,S., Cristobal,M.A., Croy,B., Dale,S., Deshmukh,H., Douglas,A., Drouillon,V., Eisenberg,M., Engler,H., Ghatti,R., Gupta,P., Hicks,S., Humphrey,J., Iyer,L., Pfefferle,L., Jain,M., Robinson,M., Kolli,M., Krueger,B., Kuphal,T., Letovsky,S., Levandoski,M., Lukasik,C., Meltzer,J., Norvell,B., Nye,M., Parker,S., Petropoulos,C., Pruitt,J., Ragan,S., Ryan,S., Sapeta,M., Schroth,J., Selvaraju,S.B., Stevovic,G., Suchanek,A., Throop,A., Tilson,L., Urban,T., Voshell,J., Wagner,K., Williams,J., Williamson,M., Zeng,Q., Zwiefelhofer,T., Paden,C.R., MacCannell,D., Sula,E.",,,2022-06-23T00:00:00Z,BA.2.12.1,4.1.3/1.17/v0.1.10/0.3.17,True,MA-CDC-LC0701676,Severe acute respiratory syndrome-related coronavirus,29661,USA: Massachusetts,USA,MA,Homo sapiens,oronasopharynx,2022-06-08
818838,ON826733.1,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Agarwal,M., Almasri,E., Boles,D., Burns,A., Charoensri,N., Cohen,O., Countryman,S., Cristobal,M.A., Croy,B., Dale,S., Deshmukh,H., Douglas,A., Drouillon,V., Eisenberg,M., Engler,H., Ghatti,R., Gupta,P., Hicks,S., Humphrey,J., Iyer,L., Pfefferle,L., Jain,M., Robinson,M., Kolli,M., Krueger,B., Kuphal,T., Letovsky,S., Levandoski,M., Lukasik,C., Meltzer,J., Norvell,B., Nye,M., Parker,S., Petropoulos,C., Pruitt,J., Ragan,S., Ryan,S., Sapeta,M., Schroth,J., Selvaraju,S.B., Stevovic,G., Suchanek,A., Throop,A., Tilson,L., Urban,T., Voshell,J., Wagner,K., Williams,J., Williamson,M., Zeng,Q., Zwiefelhofer,T., Paden,C.R., MacCannell,D., Sula,E.",,,2022-06-23T00:00:00Z,BA.2.12.1,4.1.3/1.17/v0.1.10/0.3.17,True,RI-CDC-LC0701789,Severe acute respiratory syndrome-related coronavirus,29726,USA: Rhode Island,USA,RI,Homo sapiens,oronasopharynx,2022-06-10
820104,ON829195.1,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Paden,C.R., MacCannell,D.",,,2022-06-23T00:00:00Z,BA.2.12.1,4.1.3/1.17/v0.1.10/0.3.17,True,FL-CDC-QDX37663892,Severe acute respiratory syndrome-related coronavirus,29724,USA: Florida,USA,FL,Homo sapiens,oronasopharynx,2022-06-02
823340,ON811082.1,"Garrigues,J.M., Hemarajata,P., Green,N.M.",,,2022-06-22T00:00:00Z,BA.2,4.1.3/1.17/v0.1.10/0.3.17,True,CA-LACPHL-AF10375,Severe acute respiratory syndrome-related coronavirus,29651,USA,USA,,Homo sapiens,,2022-05-20
824294,ON817516.1,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Paden,C.R., MacCannell,D.",,,2022-06-22T00:00:00Z,BA.4.1,4.1.3/1.17/v0.1.10/0.3.17,True,CA-CDC-QDX37596306,Severe acute respiratory syndrome-related coronavirus,29709,USA: California,USA,CA,Homo sapiens,oronasopharynx,2022-05-31
824945,ON818167.1,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Paden,C.R., MacCannell,D.",,,2022-06-22T00:00:00Z,BA.2.12.1,4.1.3/1.17/v0.1.10/0.3.17,True,PA-CDC-QDX37662633,Severe acute respiratory syndrome-related coronavirus,29724,USA: Pennsylvania,USA,PA,Homo sapiens,oronasopharynx,2022-06-04
827441,ON801755.1,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Agarwal,M., Almasri,E., Boles,D., Burns,A., Charoensri,N., Cohen,O., Countryman,S., Cristobal,M.A., Croy,B., Dale,S., Deshmukh,H., Douglas,A., Drouillon,V., Eisenberg,M., Engler,H., Ghatti,R., Gupta,P., Hicks,S., Humphrey,J., Iyer,L., Pfefferle,L., Jain,M., Robinson,M., Kolli,M., Krueger,B., Kuphal,T., Letovsky,S., Levandoski,M., Lukasik,C., Meltzer,J., Norvell,B., Nye,M., Parker,S., Petropoulos,C., Pruitt,J., Ragan,S., Ryan,S., Sapeta,M., Schroth,J., Selvaraju,S.B., Stevovic,G., Suchanek,A., Throop,A., Tilson,L., Urban,T., Voshell,J., Wagner,K., Williams,J., Williamson,M., Zeng,Q., Zwiefelhofer,T., Paden,C.R., MacCannell,D., Sula,E.",,,2022-06-21T00:00:00Z,BA.2.12.1,4.1.3/1.17/v0.1.10/0.3.17,True,FL-CDC-LC0694268,Severe acute respiratory syndrome-related coronavirus,29693,USA: Florida,USA,FL,Homo sapiens,oronasopharynx,2022-06-04
827497,ON801811.1,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Agarwal,M., Almasri,E., Boles,D., Burns,A., Charoensri,N., Cohen,O., Countryman,S., Cristobal,M.A., Croy,B., Dale,S., Deshmukh,H., Douglas,A., Drouillon,V., Eisenberg,M., Engler,H., Ghatti,R., Gupta,P., Hicks,S., Humphrey,J., Iyer,L., Pfefferle,L., Jain,M., Robinson,M., Kolli,M., Krueger,B., Kuphal,T., Letovsky,S., Levandoski,M., Lukasik,C., Meltzer,J., Norvell,B., Nye,M., Parker,S., Petropoulos,C., Pruitt,J., Ragan,S., Ryan,S., Sapeta,M., Schroth,J., Selvaraju,S.B., Stevovic,G., Suchanek,A., Throop,A., Tilson,L., Urban,T., Voshell,J., Wagner,K., Williams,J., Williamson,M., Zeng,Q., Zwiefelhofer,T., Paden,C.R., MacCannell,D., Sula,E.",,,2022-06-21T00:00:00Z,BA.5.5,4.1.3/1.17/v0.1.10/0.3.17,True,CA-CDC-LC0697428,Severe acute respiratory syndrome-related coronavirus,29721,USA: California,USA,CA,Homo sapiens,oronasopharynx,2022-06-04
831077,ON798060.1,"Bankers,L., Bogale,H.N., Hetherington-Rauth,M.C., Ir,D., Matzinger,S.R., Rossheim,A., Smith,A.",,,2022-06-20T00:00:00Z,BA.2.12.1,4.1.3/1.17/v0.1.10/0.3.17,True,CO-CDPHE-2103260093,Severe acute respiratory syndrome-related coronavirus,29746,USA,USA,,Homo sapiens,,2022-05-18
840227,ON786752.1,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Paden,C.R., MacCannell,D.",,,2022-06-17T00:00:00Z,BA.4.1.1,4.1.3/1.17/v0.1.10/0.3.17,True,TX-CDC-QDX37550339,Severe acute respiratory syndrome-related coronavirus,29709,USA: Texas,USA,TX,Homo sapiens,oronasopharynx,2022-05-28
841782,ON788702.1,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Agarwal,M., Almasri,E., Boles,D., Burns,A., Charoensri,N., Cohen,O., Countryman,S., Cristobal,M.A., Croy,B., Dale,S., Deshmukh,H., Douglas,A., Drouillon,V., Eisenberg,M., Engler,H., Ghatti,R., Gupta,P., Hicks,S., Humphrey,J., Iyer,L., Pfefferle,L., Jain,M., Robinson,M., Kolli,M., Krueger,B., Kuphal,T., Letovsky,S., Levandoski,M., Lukasik,C., Meltzer,J., Norvell,B., Nye,M., Parker,S., Petropoulos,C., Pruitt,J., Ragan,S., Ryan,S., Sapeta,M., Schroth,J., Selvaraju,S.B., Stevovic,G., Suchanek,A., Throop,A., Tilson,L., Urban,T., Voshell,J., Wagner,K., Williams,J., Williamson,M., Zeng,Q., Zwiefelhofer,T., Paden,C.R., MacCannell,D., Sula,E.",,,2022-06-17T00:00:00Z,BA.2.12.1,4.1.3/1.17/v0.1.10/0.3.17,True,WA-CDC-LC0690908,Severe acute respiratory syndrome-related coronavirus,29511,USA: Washington,USA,WA,Homo sapiens,oronasopharynx,2022-05-27
